Drug_id,Disease,Gene_name,CellType,Individual
NALTREXONE,Post Traumatic Stress Disorder,OPRD1,0.822545783,0.030354253
NALTREXONE,OCD & Tourette Syndrome,OPRD1,0.822545783,0.030354253
NALTREXONE,Schizophrenia,OPRD1,0.822545783,0.030354253
NALTREXONE,Substance Use Disorders,OPRD1,0.822545783,0.030354253
NALTREXONE,Eating Disorders,OPRD1,0.822545783,0.030354253
NALTREXONE,Major Depressive Disorder,OPRD1,0.822545783,0.030354253
CODEINE,Substance Use Disorders,OPRD1,0.822545783,0.030354253
CEBRANOPADOL,Substance Use Disorders,OPRD1,0.822545783,0.030354253
BENZHYDROCODONE,Substance Use Disorders,OPRD1,0.822545783,0.030354253
HYDROCODONE,Substance Use Disorders,OPRD1,0.822545783,0.030354253
NALOXONE,Major Depressive Disorder,OPRD1,0.822545783,0.030354253
NALOXONE,Eating Disorders,OPRD1,0.822545783,0.030354253
NALOXONE,Substance Use Disorders,OPRD1,0.822545783,0.030354253
SAMIDORPHAN,Eating Disorders,OPRD1,0.822545783,0.030354253
SAMIDORPHAN,Bipolar Disorder,OPRD1,0.822545783,0.030354253
SAMIDORPHAN,Schizophrenia,OPRD1,0.822545783,0.030354253
FUROSEMIDE,Schizophrenia,SLC12A1,0.379749241,0.223688576
WARFARIN,Alzheimer’s Disease,VKORC1,0.037248602,0.160018649
INDIPLON,Major Depressive Disorder,GABRA1,0.582029408,0.039541293
DOXAPRAM,Anxiety Disorder,KCNK3,0.705672609,0.024883903
DOXAPRAM,Anxiety Disorder,KCNK9,0.743694448,0.064069759
DILTIAZEM,Substance Use Disorders,CACNA1C,0.752212343,0.075140123
NIMODIPINE,Schizophrenia,CACNA1C,0.752212343,0.075140123
NIFEDIPINE,Substance Use Disorders,CACNA1C,0.752212343,0.075140123
NILVADIPINE,Alzheimer’s Disease,CACNA1C,0.752212343,0.075140123
AMLODIPINE,Major Depressive Disorder,CACNA1C,0.752212343,0.075140123
ISRADIPINE,Substance Use Disorders,CACNA1C,0.752212343,0.075140123
ISRADIPINE,Bipolar Disorder,CACNA1C,0.752212343,0.075140123
VERAPAMIL,Bipolar Disorder,CACNA1C,0.752212343,0.075140123
VERAPAMIL,Substance Use Disorders,CACNA1C,0.752212343,0.075140123
DILTIAZEM,Substance Use Disorders,CACNA1D,0.751995892,0.074807178
NIMODIPINE,Schizophrenia,CACNA1D,0.751995892,0.074807178
NIFEDIPINE,Substance Use Disorders,CACNA1D,0.751995892,0.074807178
NILVADIPINE,Alzheimer’s Disease,CACNA1D,0.751995892,0.074807178
AMLODIPINE,Major Depressive Disorder,CACNA1D,0.751995892,0.074807178
ISRADIPINE,Substance Use Disorders,CACNA1D,0.751995892,0.074807178
ISRADIPINE,Bipolar Disorder,CACNA1D,0.751995892,0.074807178
VERAPAMIL,Bipolar Disorder,CACNA1D,0.751995892,0.074807178
VERAPAMIL,Substance Use Disorders,CACNA1D,0.751995892,0.074807178
SIMVASTATIN,Alzheimer’s Disease,HMGCR,0.310284655,0.217278972
SIMVASTATIN,Bipolar Disorder,HMGCR,0.310284655,0.217278972
ATORVASTATIN,Alzheimer’s Disease,HMGCR,0.310284655,0.217278972
ROSUVASTATIN,Major Depressive Disorder,HMGCR,0.310284655,0.217278972
OSORESNONTRINE,Alzheimer’s Disease,PDE9A,0.713385176,0.016800264
OSORESNONTRINE,Schizophrenia,PDE9A,0.713385176,0.016800264
PF-04447943,Alzheimer’s Disease,PDE9A,0.713385176,0.016800264
PENTOXIFYLLINE,Schizophrenia,PDE9A,0.713385176,0.016800264
PENTOXIFYLLINE,Major Depressive Disorder,PDE9A,0.713385176,0.016800264
PENTOXIFYLLINE,Bipolar Disorder,PDE9A,0.713385176,0.016800264
DEXTROMETHORPHAN,Major Depressive Disorder,GRIN2A,0.917257329,0.01883139
DEXTROMETHORPHAN,Bipolar Disorder,GRIN2A,0.917257329,0.01883139
DEXTROMETHORPHAN,Alzheimer’s Disease,GRIN2A,0.917257329,0.01883139
DEXTROMETHORPHAN,Substance Use Disorders,GRIN2A,0.917257329,0.01883139
DEXTROMETHORPHAN,Schizophrenia,GRIN2A,0.917257329,0.01883139
DEXTROMETHORPHAN,Major Depressive Disorder,SIGMAR1,0.050228567,0.111284485
DEXTROMETHORPHAN,Bipolar Disorder,SIGMAR1,0.050228567,0.111284485
DEXTROMETHORPHAN,Alzheimer’s Disease,SIGMAR1,0.050228567,0.111284485
DEXTROMETHORPHAN,Substance Use Disorders,SIGMAR1,0.050228567,0.111284485
DEXTROMETHORPHAN,Schizophrenia,SIGMAR1,0.050228567,0.111284485
PENTAZOCINE,Bipolar Disorder,SIGMAR1,0.050228567,0.111284485
SUVECALTAMIDE,Schizophrenia,CACNA1G,0.581014076,0.138534024
ETHOSUXIMIDE,Major Depressive Disorder,CACNA1G,0.581014076,0.138534024
SUVECALTAMIDE,Schizophrenia,CACNA1I,0.759714877,0.051225487
ETHOSUXIMIDE,Major Depressive Disorder,CACNA1I,0.759714877,0.051225487
CEBRANOPADOL,Substance Use Disorders,OPRL1,0.249974522,0.124360567
LY2940094,Major Depressive Disorder,OPRL1,0.249974522,0.124360567
SIROLIMUS,Major Depressive Disorder,FKBP1A,0.28798581,0.093819622
LINAGLIPTIN,Schizophrenia,DPP4,0.567659687,0.005444786
DB959,Alzheimer’s Disease,PPARG,0.578619746,0.051346184
PIOGLITAZONE,Alzheimer’s Disease,PPARG,0.578619746,0.051346184
ROSIGLITAZONE,Alzheimer’s Disease,PPARG,0.578619746,0.051346184
BEZAFIBRATE,Bipolar Disorder,PPARG,0.578619746,0.051346184
DB959,Alzheimer’s Disease,PPARD,0.675764398,0.012391577
BEZAFIBRATE,Bipolar Disorder,PPARD,0.675764398,0.012391577
BEZAFIBRATE,Bipolar Disorder,PPARA,0.841327464,0.022705249
GEMFIBROZIL,Alzheimer’s Disease,PPARA,0.841327464,0.022705249
PEXACERFONT,Anxiety Disorder,CRHR1,0.722303809,0.068053504
CRINECERFONT,Major Depressive Disorder,CRHR1,0.722303809,0.068053504
VERUCERFONT,Post Traumatic Stress Disorder,CRHR1,0.722303809,0.068053504
AUS-131,Alzheimer’s Disease,ESR2,0.60711327,0.109319805
ERTEBEREL,Schizophrenia,ESR2,0.60711327,0.109319805
RALOXIFENE,Schizophrenia,ESR2,0.60711327,0.109319805
RALOXIFENE,Alzheimer’s Disease,ESR2,0.60711327,0.109319805
"ESTROGENS, CONJUGATED",Eating Disorders,ESR2,0.60711327,0.109319805
"ESTROGENS, CONJUGATED",Alzheimer’s Disease,ESR2,0.60711327,0.109319805
NEFLAMAPIMOD,Alzheimer’s Disease,MAPK14,0.336219691,0.19390917
IBUDILAST,Substance Use Disorders,PDE5A,0.01467194,0.222293887
UDENAFIL,Alzheimer’s Disease,PDE5A,0.01467194,0.222293887
PENTOXIFYLLINE,Schizophrenia,PDE5A,0.01467194,0.222293887
PENTOXIFYLLINE,Major Depressive Disorder,PDE5A,0.01467194,0.222293887
PENTOXIFYLLINE,Bipolar Disorder,PDE5A,0.01467194,0.222293887
PF-03463275,Schizophrenia,SLC6A9,0.596164398,0.031371142
ORG-25935,Anxiety Disorder,SLC6A9,0.596164398,0.031371142
ORG-25935,Schizophrenia,SLC6A9,0.596164398,0.031371142
BITOPERTIN,OCD & Tourette Syndrome,SLC6A9,0.596164398,0.031371142
BITOPERTIN,Schizophrenia,SLC6A9,0.596164398,0.031371142
EZOGABINE,Major Depressive Disorder,KCNQ2,0.551455492,0.163995172
EZOGABINE,Major Depressive Disorder,KCNQ3,0.738100546,0.0378531
EZOGABINE,Major Depressive Disorder,KCNQ5,0.867050882,0.025823647
EZOGABINE,Major Depressive Disorder,KCNQ4,0.756788455,0.030824261
LEVETIRACETAM,Schizophrenia,SV2A,0.408957825,0.068465032
LEVETIRACETAM,Alzheimer’s Disease,SV2A,0.408957825,0.068465032
LEVETIRACETAM,Major Depressive Disorder,SV2A,0.408957825,0.068465032
LEVETIRACETAM,Bipolar Disorder,SV2A,0.408957825,0.068465032
LEVETIRACETAM,OCD & Tourette Syndrome,SV2A,0.408957825,0.068465032
LEVETIRACETAM,Anxiety Disorder,SV2A,0.408957825,0.068465032
LEVETIRACETAM,Post Traumatic Stress Disorder,SV2A,0.408957825,0.068465032
LEVETIRACETAM,Schizophrenia,CACNA1B,0.781200098,0.063165237
LEVETIRACETAM,Alzheimer’s Disease,CACNA1B,0.781200098,0.063165237
LEVETIRACETAM,Major Depressive Disorder,CACNA1B,0.781200098,0.063165237
LEVETIRACETAM,Bipolar Disorder,CACNA1B,0.781200098,0.063165237
LEVETIRACETAM,OCD & Tourette Syndrome,CACNA1B,0.781200098,0.063165237
LEVETIRACETAM,Anxiety Disorder,CACNA1B,0.781200098,0.063165237
LEVETIRACETAM,Post Traumatic Stress Disorder,CACNA1B,0.781200098,0.063165237
TROSPIUM,Schizophrenia,CHRM2,0.671810307,0.029069016
TALSACLIDINE,Alzheimer’s Disease,CHRM2,0.671810307,0.029069016
FAMOTIDINE,Schizophrenia,HRH2,0.649501382,0.0564625
CIMETIDINE,Anxiety Disorder,HRH2,0.649501382,0.0564625
PF-04457845,Post Traumatic Stress Disorder,FAAH,0.371756363,0.16454061
MECASERMIN,Eating Disorders,IGF1R,0.343428442,0.166511706
TOCILIZUMAB,Schizophrenia,IL6R,0.812009328,0.005038134
SAPROPTERIN,Alzheimer’s Disease,PAH,0.58105436,0.126182392
SAPROPTERIN,Schizophrenia,PAH,0.58105436,0.126182392
BETAINE,Major Depressive Disorder,BHMT2,0.62512809,0.045999441
ONABOTULINUMTOXINA,Major Depressive Disorder,SNAP25,0.511199233,0.071423291
PENTOXIFYLLINE,Schizophrenia,PDE8A,0.919237468,0.003508474
PENTOXIFYLLINE,Major Depressive Disorder,PDE8A,0.919237468,0.003508474
PENTOXIFYLLINE,Bipolar Disorder,PDE8A,0.919237468,0.003508474
PENTOXIFYLLINE,Schizophrenia,PDE7A,0.320651375,0.16579409
PENTOXIFYLLINE,Major Depressive Disorder,PDE7A,0.320651375,0.16579409
PENTOXIFYLLINE,Bipolar Disorder,PDE7A,0.320651375,0.16579409
PENTOXIFYLLINE,Schizophrenia,PDE6D,0.564077698,0.124817549
PENTOXIFYLLINE,Major Depressive Disorder,PDE6D,0.564077698,0.124817549
PENTOXIFYLLINE,Bipolar Disorder,PDE6D,0.564077698,0.124817549
PENTOXIFYLLINE,Schizophrenia,PDE7B,0.808030303,0.032730558
PENTOXIFYLLINE,Major Depressive Disorder,PDE7B,0.808030303,0.032730558
PENTOXIFYLLINE,Bipolar Disorder,PDE7B,0.808030303,0.032730558
PENTOXIFYLLINE,Schizophrenia,PDE1A,0.796810982,0.015454264
PENTOXIFYLLINE,Major Depressive Disorder,PDE1A,0.796810982,0.015454264
PENTOXIFYLLINE,Bipolar Disorder,PDE1A,0.796810982,0.015454264
PENTOXIFYLLINE,Schizophrenia,PDE6B,0.545802068,0.085483525
PENTOXIFYLLINE,Major Depressive Disorder,PDE6B,0.545802068,0.085483525
PENTOXIFYLLINE,Bipolar Disorder,PDE6B,0.545802068,0.085483525
PENTOXIFYLLINE,Schizophrenia,PDE8B,0.761806323,0.017198592
PENTOXIFYLLINE,Major Depressive Disorder,PDE8B,0.761806323,0.017198592
PENTOXIFYLLINE,Bipolar Disorder,PDE8B,0.761806323,0.017198592
PENTOXIFYLLINE,Schizophrenia,PDE1B,0.642497886,0.058091349
PENTOXIFYLLINE,Major Depressive Disorder,PDE1B,0.642497886,0.058091349
PENTOXIFYLLINE,Bipolar Disorder,PDE1B,0.642497886,0.058091349
PENTOXIFYLLINE,Schizophrenia,PDE1C,0.855144522,0.005794708
PENTOXIFYLLINE,Major Depressive Disorder,PDE1C,0.855144522,0.005794708
PENTOXIFYLLINE,Bipolar Disorder,PDE1C,0.855144522,0.005794708
ETAZOLATE,Alzheimer’s Disease,GABRB3,0.883362235,0.045552654
POMAGLUMETAD METHIONIL,Post Traumatic Stress Disorder,GRM3,0.814801519,0.029889801
POMAGLUMETAD METHIONIL,Schizophrenia,GRM3,0.814801519,0.029889801
RILAPLADIB,Alzheimer’s Disease,PLA2G7,0.476163617,0.00321762
OXYTOCIN,OCD & Tourette Syndrome,OXTR,0.282988586,0.069722371
OXYTOCIN,Attention Deficit Hyperactivity Disorder,OXTR,0.282988586,0.069722371
OXYTOCIN,Substance Use Disorders,OXTR,0.282988586,0.069722371
OXYTOCIN,Post Traumatic Stress Disorder,OXTR,0.282988586,0.069722371
OXYTOCIN,Eating Disorders,OXTR,0.282988586,0.069722371
OXYTOCIN,Schizophrenia,OXTR,0.282988586,0.069722371
OXYTOCIN,Major Depressive Disorder,OXTR,0.282988586,0.069722371
